 "z" , "EducationalOrg" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Écoles paramédicales et sociales" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Universités" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Écoles supérieures art et culture" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Classes préparatoires aux grandes écoles (CPGE)" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Ecoles de commerce, gestion et comptabilité" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Etablissements d'enseignement universitaire privés" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Autres formations d'ingénieurs" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Total des formations d'enseignement supérieur" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Grands établissements MENESR" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Sections de techniciens supérieurs (STS) et assimilés" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Autres écoles de spécialités diverses" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Écoles juridiques et administratives" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Écoles normales supérieures (ENS)" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "ESPE" ,
 "https://ex.org/nous/region/%C3%8Ele-de-France" , "Classes pr��paratoires aux grandes écoles (CPGE)" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Total des formations d'enseignement supérieur" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Autres écoles de spécialités diverses" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Écoles supérieures art et culture" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Ecoles de commerce, gestion et comptabilité" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Etablissements d'enseignement universitaire privés" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Écoles juridiques et administratives" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Classes préparatoires aux grandes écoles (CPGE)" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Sections de techniciens supérieurs (STS) et assimilés" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Écoles paramédicales et sociales" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Autres formations d'ingénieurs" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Instituts nationaux polytechniques (INP)" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Grands établissements MENESR" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Écoles normales supérieures (ENS)" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "Universités" ,
 "https://ex.org/nous/region/Auvergne-Rh%C3%B4ne-Alpes" , "ESPE" ,
 "https://ex.org/nous/region/Bretagne" , "Ecoles de commerce, gestion et comptabilité" ,
 "https://ex.org/nous/region/Bretagne" , "Total des formations d'enseignement supérieur" ,
 "https://ex.org/nous/region/Bretagne" , "Autres formations d'ingénieurs" ,
 "https://ex.org/nous/region/Bretagne" , "Écoles supérieures art et culture" ,
 "https://ex.org/nous/region/Bretagne" , "Etablissements d'enseignement universitaire privés" ,
 "https://ex.org/nous/region/Bretagne" , "Écoles normales supérieures (ENS)" ,
 "https://ex.org/nous/region/Bretagne" , "Écoles paramédicales et sociales" ,
 "https://ex.org/nous/region/Bretagne" , "Autres écoles de spécialités diverses" ,
 "https://ex.org/nous/region/Bretagne" , "Sections de techniciens supérieurs (STS) et assimilés" ,
 "https://ex.org/nous/region/Bretagne" , "Écoles juridiques et administratives" ,
 "https://ex.org/nous/region/Bretagne" , "Classes préparatoires aux grandes écoles (CPGE)" ,
 "https://ex.org/nous/region/Bretagne" , "Universités" ,
 "https://ex.org/nous/region/Bretagne" , "ESPE" ,
 "https://ex.org/nous/region/Bretagne" , "Grands établissements MENESR" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Écoles paramédicales et sociales" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Sections de techniciens supérieurs (STS) et assimilés" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Total des formations d'enseignement supérieur" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Classes préparatoires aux grandes écoles (CPGE)" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Ecoles de commerce, gestion et comptabilité" ,
 "https://ex.org/nous/region/Bourgogne-Franche-Comt%C3%A9" , "Autres écoles de spécialités diverses" ,
